boot,minute,raw,pct
7,1005,1,1996,79.97
7,1006,1,1990,79.94
7,1007,1,1996,79.95
7,1008,1,1992,79.96
7,1009,1,1992,79.97
7,1010,1,1994,79.97
7,1011,1,1992,79.96
7,1012,1,1992,79.99
7,1013,1,1992,80.00
7,1014,1,1994,80.01
7,1015,1,1994,80.03
7,1016,1,1992,80.05
7,1017,1,1990,80.03
7,1018,1,1990,80.01
7,1019,1,1988,80.03
7,1020,1,1994,80.03
7,1021,1,1994,80.01
7,1022,1,1990,80.04
7,1023,1,1990,80.05
7,1024,1,1990,80.02
7,1025,1,1994,80.02
7,1026,1,1990,80.03
7,1027,1,1990,80.02
7,1028,1,1992,80.01
7,1029,1,1994,80.05
7,1030,1,1994,80.03
7,1031,1,1992,80.01
7,1032,1,1992,80.02
7,1033,1,1988,80.05
7,1034,1,1992,80.05
7,1035,1,1992,80.01
7,1036,1,1992,80.02
7,1037,1,1992,80.03
7,1038,1,1990,80.05
7,1039,1,1994,80.06
7,1040,1,1990,80.04
7,1041,1,1990,80.02
7,1042,1,1990,80.01
7,1043,1,1990,80.03
7,1044,1,1992,80.03
7,1045,1,1988,80.04
7,1046,1,1994,79.98
7,1047,1,1988,80.04
7,1048,1,1992,80.00
7,1049,1,1990,80.01
7,1050,1,1992,79.98
7,1051,1,1992,79.97
7,1052,1,1996,79.97
7,1053,1,1992,79.98
7,1054,1,1988,80.00
7,1055,1,1994,79.98
7,1056,1,1992,79.98
7,1057,1,1988,79.98
7,1058,1,1990,79.97
7,1059,1,1994,79.95
7,1060,1,1994,79.96
7,1061,1,1998,79.96
7,1062,1,1988,79.94
7,1063,1,1988,80.10
